product_id,first_added_count,product_name
24852,15562,Banana
13176,11026,Bag of Organic Bananas
27845,4363,Organic Whole Milk
21137,3946,Organic Strawberries
47209,3390,Organic Hass Avocado
21903,3336,Organic Baby Spinach
47766,3044,Organic Avocado
19660,2336,Spring Water
16797,2308,Strawberries
27966,2024,Organic Raspberries
44632,1914,Sparkling Water Grapefruit
49235,1797,Organic Half & Half
47626,1737,Large Lemon
196,1733,Soda
38689,1397,Organic Reduced Fat Milk
26209,1370,Limes
12341,1340,Hass Avocados
5785,1310,Organic Reduced Fat 2% Milk
27086,1309,Half & Half
43352,1246,Raspberries
