product_id,purchase_count,product_name
24852,66050,Banana
13176,53297,Bag of Organic Bananas
21137,37039,Organic Strawberries
21903,33971,Organic Baby Spinach
47209,29773,Organic Hass Avocado
47766,24689,Organic Avocado
47626,21495,Large Lemon
16797,20018,Strawberries
26209,19690,Limes
27845,19600,Organic Whole Milk
27966,19197,Organic Raspberries
22935,15898,Organic Yellow Onion
24964,15292,Organic Garlic
45007,14584,Organic Zucchini
39275,13879,Organic Blueberries
49683,13675,Cucumber Kirby
28204,12544,Organic Fuji Apple
5876,12232,Organic Lemon
8277,11993,Apple Honeycrisp Organic
40706,11781,Organic Grape Tomatoes
